产品类型,资产大类,字段,字段类型,字段含义,值域,特殊规则
COMM_RANGE_ACCURE,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMM_RANGE_ACCURE,商品,CURRENCY_CODE,字符串,货币代码,,
COMM_RANGE_ACCURE,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMM_RANGE_ACCURE,商品,DOMESTIC_RATE,浮点数,国内利率,,
COMM_RANGE_ACCURE,商品,EPS,浮点数,扰动步长,,
COMM_RANGE_ACCURE,商品,FIXING_ID,字符串,定盘ID,,
COMM_RANGE_ACCURE,商品,FOREIGN_RATE,浮点数,国外利率,,
COMM_RANGE_ACCURE,商品,FRTB_COMM_ASSET,字符串,,,
COMM_RANGE_ACCURE,商品,FRTB_COMM_BUCKET,字符串,,,
COMM_RANGE_ACCURE,商品,FRTB_COMM_LOCATION,字符串,,,
COMM_RANGE_ACCURE,商品,INSTRUMENT_ID,字符串,交易编号,,
COMM_RANGE_ACCURE,商品,LOWER_BARRIER,浮点数,下障碍,,
COMM_RANGE_ACCURE,商品,MATURITY_DATE,日期,到期日,,yyyyMMdd
COMM_RANGE_ACCURE,商品,NOTIONAL,浮点数,名义金额,,非负有限数
COMM_RANGE_ACCURE,商品,OBS_DATE,字符串,观察日,,
COMM_RANGE_ACCURE,商品,PRICE_CURVE,字符串,价格曲线,,
COMM_RANGE_ACCURE,商品,PRODUCT_CODE,字符串,产品代码,,
COMM_RANGE_ACCURE,商品,RANGE_ACCURE_RATE,浮点数,区间累积收益率,,
COMM_RANGE_ACCURE,商品,RANGE_DIRECTION,字符串,区间方向,,
COMM_RANGE_ACCURE,商品,SETTLE_CURRENCY_CODE,字符串,结算货币,,
COMM_RANGE_ACCURE,商品,SETTLE_DATE,日期,结算日,,yyyyMMdd
COMM_RANGE_ACCURE,商品,SIGMABYGOALSEEK,浮点数,,,
COMM_RANGE_ACCURE,商品,START_DATE,日期,起息日,,yyyyMMdd
COMM_RANGE_ACCURE,商品,UNDERLYING_CODE,字符串,标的代码,,
COMM_RANGE_ACCURE,商品,UNDERLYING_ID,字符串,标的ID,,
COMM_RANGE_ACCURE,商品,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
COMM_RANGE_ACCURE,商品,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_SHARKFIN,商品,BASE_CURRENCY_CODE,字符串,基础货币代码,,
COMM_SHARKFIN,商品,BASE_DISCOUNT_CURVE,字符串,基础折现曲线,,
COMM_SHARKFIN,商品,BASE_RATE,浮点数,基础收益率,,
COMM_SHARKFIN,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMM_SHARKFIN,商品,CONTRACT_SIZE,浮点数,合约乘数,,默认1
COMM_SHARKFIN,商品,CURRENCY_CODE,字符串,货币代码,,
COMM_SHARKFIN,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMM_SHARKFIN,商品,DOWN_BARRIER,浮点数,下障碍价,,
COMM_SHARKFIN,商品,FIXING_ID,字符串,定盘ID,,
COMM_SHARKFIN,商品,INSTRUMENT_ID,字符串,交易编号,,
COMM_SHARKFIN,商品,MATURITY_DATE,日期,到期日,,yyyyMMdd
COMM_SHARKFIN,商品,NOTIONAL,浮点数,名义金额,,非负有限数
COMM_SHARKFIN,商品,OPTION_TYPE,字符串,期权类型,Call/Put/Up/Down/Double,
COMM_SHARKFIN,商品,PRICE_CURVE,字符串,价格曲线,,
COMM_SHARKFIN,商品,PRODUCT_CODE,字符串,产品代码,,
